player_id,player_name,player_url,position,year,team,games_played,snap_count,snap_percent,rush_att,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,fumbles
9991792,D'Onta Foreman,https://dynastyleaguefootball.com/player/9991792/DOnta_Foreman,RB,2018,HOU,1,31,47.7,7,-1,0,2,2,28,1,0
9991792,D'Onta Foreman,https://dynastyleaguefootball.com/player/9991792/DOnta_Foreman,RB,2020,TEN,5,29,9.0,22,95,0,1,1,5,1,0
9991792,D'Onta Foreman,https://dynastyleaguefootball.com/player/9991792/DOnta_Foreman,RB,2021,TEN,8,195,36.4,112,497,3,9,8,108,0,1
9991792,D'Onta Foreman,https://dynastyleaguefootball.com/player/9991792/DOnta_Foreman,RB,2022,CAR,16,338,35.3,191,846,5,9,5,26,0,0
17923,Ezekiel Elliott,https://dynastyleaguefootball.com/player/17923/Ezekiel_Elliott,RB,2016,DAL,15,713,71.2,322,1631,15,40,32,363,1,1
17923,Ezekiel Elliott,https://dynastyleaguefootball.com/player/17923/Ezekiel_Elliott,RB,2017,DAL,10,591,85.5,242,983,7,38,26,249,2,1
17923,Ezekiel Elliott,https://dynastyleaguefootball.com/player/17923/Ezekiel_Elliott,RB,2018,DAL,15,890,89.1,304,1435,6,95,77,567,3,2
17923,Ezekiel Elliott,https://dynastyleaguefootball.com/player/17923/Ezekiel_Elliott,RB,2019,DAL,16,942,83.4,301,1357,12,72,54,419,2,2
17923,Ezekiel Elliott,https://dynastyleaguefootball.com/player/17923/Ezekiel_Elliott,RB,2020,DAL,15,787,72.4,244,979,6,73,52,338,2,5
17923,Ezekiel Elliott,https://dynastyleaguefootball.com/player/17923/Ezekiel_Elliott,RB,2021,DAL,16,773,66.4,219,915,10,62,46,270,2,1
17923,Ezekiel Elliott,https://dynastyleaguefootball.com/player/17923/Ezekiel_Elliott,RB,2022,DAL,14,526,55.3,223,866,12,21,17,92,0,0
9992807,Jeff Wilson Jr,https://dynastyleaguefootball.com/player/9992807/Jeff_Wilson_Jr,RB,2018,SF,6,197,50.4,66,266,0,15,12,98,0,2
9992807,Jeff Wilson Jr,https://dynastyleaguefootball.com/player/9992807/Jeff_Wilson_Jr,RB,2019,SF,8,60,11.2,27,105,4,5,3,34,1,0
9992807,Jeff Wilson Jr,https://dynastyleaguefootball.com/player/9992807/Jeff_Wilson_Jr,RB,2020,SF,11,311,40.9,126,603,7,28,13,133,3,2
9992807,Jeff Wilson Jr,https://dynastyleaguefootball.com/player/9992807/Jeff_Wilson_Jr,RB,2021,SF,8,222,42.2,79,294,2,8,7,31,0,0
9992807,Jeff Wilson Jr,https://dynastyleaguefootball.com/player/9992807/Jeff_Wilson_Jr,RB,2022,MIA,15,483,52.0,160,788,5,35,20,183,1,2
9992506,Zamir White,https://dynastyleaguefootball.com/player/9992506/Zamir_White,RB,2022,LV,11,38,5.3,16,66,0,0,0,0,0,0
9993167,Jerome Ford,https://dynastyleaguefootball.com/player/9993167/Jerome_Ford,RB,2022,CLE,2,14,11.7,8,12,0,0,0,0,0,0
9900356,Samaje Perine,https://dynastyleaguefootball.com/player/9900356/Samaje_Perine,RB,2017,WAS,13,360,43.4,175,603,1,24,22,182,1,2
9900356,Samaje Perine,https://dynastyleaguefootball.com/player/9900356/Samaje_Perine,RB,2018,WAS,4,30,12.3,8,32,0,4,3,5,0,0
9900356,Samaje Perine,https://dynastyleaguefootball.com/player/9900356/Samaje_Perine,RB,2019,"CIN,MIA",3,11,5.1,5,16,0,0,0,0,0,0
9900356,Samaje Perine,https://dynastyleaguefootball.com/player/9900356/Samaje_Perine,RB,2020,CIN,13,207,24.4,63,301,3,12,11,66,0,0
9900356,Samaje Perine,https://dynastyleaguefootball.com/player/9900356/Samaje_Perine,RB,2021,CIN,15,276,28.2,55,246,1,31,27,196,1,0
9900356,Samaje Perine,https://dynastyleaguefootball.com/player/9900356/Samaje_Perine,RB,2022,CIN,15,418,40.2,89,376,2,50,37,283,4,0
9993231,Isaiah Spiller,https://dynastyleaguefootball.com/player/9993231/Isaiah_Spiller,RB,2022,LAC,6,53,13.0,18,41,0,3,3,13,0,0
9992804,Chuba Hubbard,https://dynastyleaguefootball.com/player/9992804/Chuba_Hubbard,RB,2021,CAR,16,433,40.1,163,564,5,34,23,166,0,1
9992804,Chuba Hubbard,https://dynastyleaguefootball.com/player/9992804/Chuba_Hubbard,RB,2022,CAR,14,234,28.3,74,397,2,16,14,171,0,1
9992799,Gus Edwards,https://dynastyleaguefootball.com/player/9992799/Gus_Edwards,RB,2018,BAL,11,286,36.2,137,718,2,2,2,20,0,0
9992799,Gus Edwards,https://dynastyleaguefootball.com/player/9992799/Gus_Edwards,RB,2019,BAL,16,402,35.7,133,711,2,8,7,45,0,1
9992799,Gus Edwards,https://dynastyleaguefootball.com/player/9992799/Gus_Edwards,RB,2020,BAL,16,347,33.8,144,724,6,14,9,129,0,1
9992799,Gus Edwards,https://dynastyleaguefootball.com/player/9992799/Gus_Edwards,RB,2022,BAL,8,154,30.1,83,417,3,2,0,0,0,1
9993301,Zonovan Knight,https://dynastyleaguefootball.com/player/9993301/Zonovan_Knight,RB,2022,NYJ,6,181,43.7,73,278,1,14,13,100,0,0
9900442,Kareem Hunt,https://dynastyleaguefootball.com/player/9900442/Kareem_Hunt,RB,2017,KC,16,669,64.8,272,1327,8,63,53,455,3,1
9900442,Kareem Hunt,https://dynastyleaguefootball.com/player/9900442/Kareem_Hunt,RB,2018,KC,11,503,70.5,181,824,7,35,26,378,7,0
9900442,Kareem Hunt,https://dynastyleaguefootball.com/player/9900442/Kareem_Hunt,RB,2019,CLE,8,313,59.5,43,179,2,45,37,285,1,0
